CDN Number,Neighbourhood,Borough,Latitude,Longitude
1,West Humber-Clairville,Etobicoke,43.71456000000006,-79.59260999999998
2,Mount Olive-Silverstone-Jamestown,Etobicoke,43.74721000000005,-79.58825999999993
3,Thistletown-Beaumond Heights,Etobicoke,43.73858000000007,-79.56427999999994
4,Rexdale-Kipling,Etobicoke,43.724330000000066,-79.56719999999996
5,Elms-Old Rexdale,Etobicoke,43.72429000000005,-79.54955999999999
6,Kingsview Village-The Westway,Etobicoke,43.69944000000004,-79.54923999999994
7,Willowridge-Martingrove-Richview,Etobicoke,43.68514000000005,-79.54132999999996
8,Humber Heights-Westmount,Etobicoke,43.69402000000008,-79.52125999999998
9,Edenbridge-Humber Valley,Etobicoke,43.66991000000007,-79.52125999999998
10,Princess-Rosethorn,Etobicoke,43.665310000000034,-79.54560999999995
11,Eringate-Centennial-West Deane,Etobicoke,43.661910000000034,-79.57737999999995
12,Markland Wood,Etobicoke,43.63391000000007,-79.56947999999994
13,Etobicoke West Mall,Etobicoke,43.64450000000005,-79.56750999999997
14,Islington-City Centre West,Etobicoke,43.63608000000005,-79.54295999999994
15,Kingsway South,Etobicoke,43.65433000000007,-79.51111999999995
16,Stonegate-Queensway,Etobicoke,43.63718000000006,-79.50057999999996
17,Mimico,Etobicoke,43.617290000000025,-79.49884999999995
18,New Toronto,Etobicoke,43.60143000000005,-79.50924999999995
19,Long Branch,Etobicoke,43.593540000000075,-79.53274999999996
20,Alderwood,Etobicoke,43.60496000000006,-79.54115999999993
21,Humber Summit,North York,43.76016000000004,-79.55848999999995
22,Humbermede,North York,43.74284000000006,-79.53745999999995
23,Pelmo Park-Humberlea,North York,43.71035000000006,-79.52926999999994
24,Black Creek,North York,43.76636000000008,-79.52149999999995
25,Glenfield-Jane Heights,North York,43.746770000000026,-79.51503999999994
26,Downsview-Roding-CFB,North York,43.72892000000007,-79.49135999999999
27,York University Heights,North York,43.75997000000007,-79.48519999999996
28,Rustic,North York,43.71249000000006,-79.49722999999994
29,Maple Leaf,North York,43.714620000000025,-79.47977999999995
30,Brookhaven-Amesbury,North York,43.70031000000006,-79.48464999999999
31,Yorkdale-Glen Park,North York,43.713880000000074,-79.45468999999997
32,Englemount-Lawrence,North York,43.72192000000007,-79.43811999999997
33,Clanton Park,North York,43.74359000000004,-79.44320999999997
34,Bathurst Manor,North York,43.763780000000054,-79.45476999999994
35,Westminster-Branson,North York,43.78206000000006,-79.44935999999996
36,Newtonbrook West,North York,43.78818000000007,-79.43172999999996
37,Willowdale West,North York,43.771340000000066,-79.42801999999995
38,Lansing-Westgate,North York,43.75463000000008,-79.42419999999998
39,Bedford Park-Nortown,North York,43.73066000000006,-79.42449999999997
40,St. Andrew-Windfields,North York,43.75720000000007,-79.38187999999997
41,Bridle Path-Sunnybrook-York Mills,North York,43.72732000000008,-79.38086999999996
42,Banbury-Don Mills,North York,43.740410000000054,-79.34851999999995
43,Victoria Village,North York,43.73154000000005,-79.31427999999994
44,Flemingdon Park,North York,43.71631000000008,-79.33170999999999
45,Parkwoods-Donalda,pelNorth York,43.75613000000004,-79.32879999999994
46,Pleasant View,North York,43.78812000000005,-79.33452999999997
47,Don Valley Village,North York,43.78558000000004,-79.34985999999998
48,Hillcrest Village,North York,43.803030000000035,-79.35345999999998
49,Bayview Woods-Steeles,North York,43.794850000000054,-79.38221999999996
50,Newtonbrook East,North York,43.793040000000076,-79.40694999999994
51,Willowdale East,North York,43.77249000000006,-79.40040999999997
52,Bayview Village,North York,43.777100000000075,-79.37956999999994
53,Henry Farm,North York,43.772290000000055,-79.34085999999996
54,O'Connor-Parkview,East York,43.70872000000003,-79.30676999999997
55,Thorncliffe Park,East York,43.70732000000004,-79.34352999999999
56,Leaside-Bennington,East York,43.70071000000007,-79.36757999999998
57,Broadview North,East York,43.68937000000005,-79.35428999999993
58,Old East York,East York,43.69622000000004,-79.33288999999996
59,Danforth - East York,East York,43.689670000000035,-79.33068999999995
60,Woodbine-Lumsden,East York,43.69444000000004,-79.31058999999993
61,Crescent Town,East York,43.694750000000056,-79.29529999999994
62,East End-Danforth,Old City of Toronto,43.68420000000003,-79.29886999999997
63,The Beaches,Old City of Toronto,43.67413000000005,-79.29643999999996
64,Woodbine Corridor,Old City of Toronto,43.67787000000004,-79.31488999999993
65,Greenwood-Coxwell,Old City of Toronto,43.67195000000004,-79.32342999999997
66,Danforth Village - Toronto,Old City of Toronto,43.684600000000046,-79.32799999999997
67,Playter Estates-Danforth,Old City of Toronto,43.680150000000026,-79.35524999999996
68,North Riverdale,Old City of Toronto,43.67158000000006,-79.35137999999995
69,Blake-Jones,Old City of Toronto,43.67522000000008,-79.33761999999996
70,South Riverdale,Old City of Toronto,43.652750000000026,-79.33863999999994
71,Cabbagetown-South St. James Town,Old City of Toronto,43.66760000000005,-79.36418999999995
72,Regent Park,Old City of Toronto,43.660690000000045,-79.36030999999997
73,Moss Park,Old City of Toronto,43.65521000000007,-79.36816999999996
74,North St. James Town,Old City of Toronto,43.670390000000054,-79.37608999999998
75,Church-Yonge Corridor,Old City of Toronto,43.660240000000044,-79.37867999999997
76,Bay Street Corridor,Old City of Toronto,43.657710000000066,-79.38617999999997
77,Waterfront Communities-The Island,Old City of Toronto,43.64296000000007,-79.37160999999998
78,Kensington-Chinatown,Old City of Toronto,43.65331000000003,-79.39633999999995
79,University,Old City of Toronto,43.663760000000025,-79.40015999999997
80,Palmerston-Little Italy,Old City of Toronto,43.659560000000056,-79.41921999999994
81,Trinity-Bellwoods,Old City of Toronto,43.65043000000003,-79.41523999999998
82,Niagara,Old City of Toronto,43.64285000000007,-79.40789999999998
83,Dufferin Grove,Old City of Toronto,43.655140000000074,-79.43730999999997
84,Little Portugal,Old City of Toronto,43.64755000000008,-79.42904999999996
85,South Parkdale,Old City of Toronto,43.63788000000005,-79.43255999999997
86,Roncesvalles,Old City of Toronto,43.64427000000006,-79.44268999999997
87,High Park-Swansea,Old City of Toronto,43.64704000000006,-79.47113999999993
88,High Park North,Old City of Toronto,43.65769000000006,-79.46448999999996
89,Runnymede-Bloor West Village,Old City of Toronto,43.66246000000007,-79.48668999999995
90,Junction Area,Old City of Toronto,43.66907000000003,-79.47202999999996
91,Weston-Pellam Park,Old City of Toronto,43.67396000000008,-79.46136999999999
92,Corso Italia-Davenport,Old City of Toronto,43.676990000000046,-79.45037999999994
93,Dovercourt-Wallace Emerson-Junction,Old City of Toronto,43.666040000000066,-79.43686999999994
94,Wychwood,Old City of Toronto,43.67734000000007,-79.42496999999997
95,Annex,Old City of Toronto,43.66551992339436,-79.40732002611213
96,Casa Loma,Old City of Toronto,43.68078000000003,-79.40948999999995
97,Yonge-St.Clair,Old City of Toronto,43.68883000000005,-79.39886999999999
98,Rosedale-Moore Park,Old City of Toronto,43.681940000000054,-79.37938999999994
99,Mount Pleasant East,Old City of Toronto,43.70563000000004,-79.38192999999995
100,Yonge and Eglinton,Old City of Toronto,43.706750061226415,-79.3983099048018
101,Forest Hill South,Old City of Toronto,43.69431000000003,-79.41609999999997
102,Forest Hill North,Old City of Toronto,43.705220000000054,-79.42744999999996
103,Lawrence Park South,Old City of Toronto,43.71852000000007,-79.40575999999999
104,Mount Pleasant West,Old City of Toronto,43.70541000000003,-79.39255999999995
105,Lawrence Park North,Old City of Toronto,43.72830000000005,-79.40641999999997
106,Humewood-Cedarvale,York,43.68942000000004,-79.42697999999996
107,Oakwood Village,York,43.68888000000004,-79.43987999999996
108,Briar Hill-Belgravia,York,43.69852000000003,-79.45124999999996
109,Caledonia-Fairbank,York,43.68857000000003,-79.45482999999996
110,Keelesdale-Eglinton West,York,43.68569000000008,-79.46927999999997
111,Rockcliffe-Smythe,York,43.67525000000006,-79.48863999999998
112,Beechborough-Greenbrook,York,43.69311000000005,-79.47830999999996
113,Weston,York,43.716810000000066,-79.51630999999998
114,Lambton Baby Point,York,43.65932000000004,-79.49750999999998
115,Mount Dennis,York,43.68910000000005,-79.49551999999994
116,Steeles,Scarborough,43.812310000000025,-79.32153999999997
117,L'Amoreaux,Scarborough,43.797300000000064,-79.31221999999997
118,Tam O'Shanter-Sullivan,Scarborough,43.78203000000008,-79.30539999999996
119,Wexford-Maryvale,Scarborough,43.74860000000007,-79.29801999999995
120,Clairlea-Birchmount,Scarborough,43.716080000000034,-79.28313999999995
121,Oakridge,Scarborough,43.698830000000044,-79.27911999999998
122,Birchcliffe-Cliffside,Scarborough,43.694720000000075,-79.26459999999997
123,Cliffcrest,Scarborough,43.726420000000076,-79.23296999999997
124,Kennedy Park,Scarborough,43.72587000000004,-79.26228999999995
125,Ionview,Scarborough,43.73342000000008,-79.26628999999997
126,Dorset Park,Scarborough,43.75533000000007,-79.27745999999996
127,Bendale,Scarborough,43.75963000000007,-79.25738999999999
128,Agincourt South-Malvern West,Scarborough,43.787360000000035,-79.26934999999997
129,Agincourt North,Scarborough,43.809300000000064,-79.26706999999999
130,Milliken,Scarborough,43.82325000000003,-79.27728999999994
131,Rouge,Scarborough,43.80012000000005,-79.16628999999995
132,Malvern,Scarborough,43.81023000000005,-79.22037999999998
133,Centennial Scarborough,Scarborough,43.77914000000004,-79.14724999999999
134,Highland Creek,Scarborough,43.789480000000026,-79.17613999999998
135,Morningside,Scarborough,43.78255000000007,-79.20522999999997
136,West Hill,Scarborough,43.76343000000003,-79.17819999999995
137,Woburn,Scarborough,43.767480000000035,-79.22828999999996
138,Eglinton East,Scarborough,43.73968000000008,-79.24553999999995
139,Scarborough Village,Scarborough,43.738650000000064,-79.21698999999995
140,Guildwood,Scarborough,43.74953000000005,-79.18991999999997
